entryDate,no2_conc,o3_conc,pm25_conc,pm10_conc,temp,RH,dewpoint,SiteName
3/25/21 8:00,8.5,21.21,2.54,5.63,11.98,99.9,12,Hines_RecordCrossing
3/25/21 8:00,13.04,20.59,7.96,18.04,11.88,79.8,8.5,Inwood_UTSW
3/25/21 9:00,6.27,20.73,27.6,63.24,11.6,83.5,8.9,Hines_MedicalDistrictDrive
3/25/21 9:00,10.75,18.19,2,4.38,13.26,99.9,13.2,Hines_RecordCrossing
3/25/21 9:00,15.75,16.4,7.56,16.55,13.11,79.8,9.7,Inwood_UTSW
3/25/21 10:00,14.77,15.02,26.83,59.15,12.49,83.5,9.8,Hines_MedicalDistrictDrive
3/25/21 10:00,16.05,14.39,2.79,4.12,13.45,99.9,13.4,Hines_RecordCrossing
3/25/21 10:00,20.84,12.42,10.8,17.95,12.84,79.8,9.4,Inwood_UTSW
3/25/21 11:00,2.37,20.31,24.47,56.49,11.8,83.5,9.1,Hines_MedicalDistrictDrive
3/25/21 11:00,3.79,19.63,1.34,1.76,13.13,99.9,13.1,Hines_RecordCrossing
3/25/21 11:00,8.64,20.85,6.25,12.33,13.19,79.8,9.8,Inwood_UTSW
3/25/21 12:00,0.09,26.93,21.88,55.87,15.58,83.5,12.8,Hines_MedicalDistrictDrive
3/25/21 12:00,1.24,25.3,1.87,3.56,15.18,94.6,14.3,Hines_RecordCrossing
3/25/21 12:00,5.22,25.93,5.77,12.16,15.62,67.3,9.6,Inwood_UTSW
3/25/21 13:00,2.39,32.69,19.94,56.43,19.14,61.2,11.5,Hines_MedicalDistrictDrive
3/25/21 13:00,1.37,29.26,2.01,4.18,16.73,83.2,13.9,Hines_RecordCrossing
3/25/21 13:00,3.69,32.03,3.51,9.84,18.27,53.5,8.7,Inwood_UTSW
3/25/21 14:00,1.66,36.19,17.45,57.24,20.55,56.8,11.7,Hines_MedicalDistrictDrive
3/25/21 14:00,1.61,32.94,1.54,6.15,19.24,73.3,14.3,Hines_RecordCrossing
3/25/21 14:00,5.61,33.72,2.35,10.23,18.07,49.1,7.2,Inwood_UTSW
3/25/21 15:00,2.17,41.37,16.17,57.76,22.23,49.3,11.1,Hines_MedicalDistrictDrive
3/25/21 15:00,7.07,35.39,1.51,9.06,19.41,67.1,13.1,Hines_RecordCrossing
3/25/21 15:00,4.05,39.77,1.86,10.48,21.36,42.8,8.2,Inwood_UTSW
3/25/21 16:00,2.49,42.53,15.84,57.39,19.87,51.6,9.6,Hines_MedicalDistrictDrive
3/25/21 16:00,6.74,36.69,0.85,6.52,20.6,63,13.3,Hines_RecordCrossing
3/25/21 16:00,6.01,39.57,1.42,9.6,20.69,41.6,7.2,Inwood_UTSW
3/25/21 17:00,4.2,40.78,13.7,56.1,23.22,41.2,9.3,Hines_MedicalDistrictDrive
3/25/21 17:00,6.79,36.82,0.54,6.6,21.12,55.1,11.8,Hines_RecordCrossing
3/25/21 17:00,7.24,39.36,0.35,6.76,21.81,34.4,5.4,Inwood_UTSW
3/25/21 18:00,6.51,38.48,13.58,55.92,23.31,40.3,9.1,Hines_MedicalDistrictDrive
3/25/21 18:00,5.21,36.7,0.22,3.99,23.04,52.5,12.8,Hines_RecordCrossing
3/25/21 18:00,9.5,40,0.35,6.5,21.48,31.9,4,Inwood_UTSW
3/25/21 19:00,6.87,36.46,17.1,57.99,22.16,38.9,7.5,Hines_MedicalDistrictDrive
3/25/21 19:00,4.98,34.84,1.82,5.81,19.91,53.4,10.2,Hines_RecordCrossing
3/25/21 19:00,17.98,32.71,2.42,8.83,21.67,29.8,3.2,Inwood_UTSW
3/25/21 20:00,8.56,31.65,18.89,58.21,19.33,43.9,6.7,Hines_MedicalDistrictDrive
3/25/21 20:00,0.36,33.79,2.9,7.83,18.82,56.5,10,Hines_RecordCrossing
3/25/21 20:00,20.31,28.95,4.02,11.69,18.52,36,3.2,Inwood_UTSW
3/25/21 21:00,28.2,10.21,22.36,64.67,18.09,47.1,6.6,Hines_MedicalDistrictDrive
3/25/21 21:00,17.42,14.5,4.65,18.2,17.29,64,10.4,Hines_RecordCrossing
3/25/21 21:00,32.3,11.68,6.75,18.25,16.72,41.3,3.5,Inwood_UTSW
3/25/21 22:00,33.66,3.85,30.68,77.84,16.56,52.8,6.9,Hines_MedicalDistrictDrive
3/25/21 22:00,29.65,1.87,7.56,31.86,15.4,69.8,9.9,Hines_RecordCrossing
3/25/21 22:00,39.12,0.99,10.85,27.63,15.37,49.1,4.7,Inwood_UTSW
3/25/21 23:00,30.87,0.81,37.24,83.07,15.59,57.1,7.1,Hines_MedicalDistrictDrive
3/25/21 23:00,26.02,0.8,11.03,42.56,14.25,78.4,10.5,Hines_RecordCrossing
3/25/21 23:00,33.05,0.01,15.3,40.57,14.15,54.3,5.1,Inwood_UTSW
3/26/21 0:00,31.07,0.17,47.35,87.83,14.9,58.4,6.8,Hines_MedicalDistrictDrive
3/26/21 0:00,25.9,0.93,12.48,41.12,15.2,71.4,10,Hines_RecordCrossing
3/26/21 0:00,34.05,0.12,17.62,40.08,14.56,51.2,4.6,Inwood_UTSW
3/26/21 1:00,28.17,0.39,45.12,84.22,13.42,68.3,7.7,Hines_MedicalDistrictDrive
3/26/21 1:00,28.83,1.61,11.92,30.25,14.27,79,10.7,Hines_RecordCrossing
3/26/21 1:00,33.24,0.1,22.37,43.13,13.29,60.2,5.7,Inwood_UTSW
3/26/21 2:00,27.46,0,52.63,96.5,13.42,64.1,6.8,Hines_MedicalDistrictDrive
3/26/21 2:00,25.8,0.8,13.36,38.42,14.6,74.6,10.1,Hines_RecordCrossing
3/26/21 2:00,28.92,0,25.57,60.44,13.4,60.3,5.9,Inwood_UTSW
3/26/21 3:00,31.33,0.23,46.08,79.77,12.55,68,6.8,Hines_MedicalDistrictDrive
3/26/21 3:00,32.14,0.8,12.59,31.98,13.38,83.8,10.7,Hines_RecordCrossing
3/26/21 3:00,33.38,0,18.45,35.13,12.86,58.3,4.9,Inwood_UTSW
3/26/21 4:00,28.05,2.14,37.38,73.8,12.63,66.8,6.6,Hines_MedicalDistrictDrive
3/26/21 4:00,26.33,0.8,12.11,31,13.1,80.5,9.8,Hines_RecordCrossing
3/26/21 4:00,34.66,0.65,13.24,25.22,12.24,59.5,4.6,Inwood_UTSW
3/26/21 5:00,19.43,5.01,34.33,66.74,11.69,79.8,8.3,Hines_MedicalDistrictDrive
3/26/21 5:00,22.89,2.41,7.78,19.58,12.68,93.6,11.7,Hines_RecordCrossing
3/26/21 5:00,27.14,2.96,11.37,22.46,12.77,70.5,7.5,Inwood_UTSW
3/26/21 6:00,11.44,9.58,26.58,60.91,11.89,83.5,9.2,Hines_MedicalDistrictDrive
3/26/21 6:00,7.82,11.32,3.8,10.65,12.98,95.1,12.2,Hines_RecordCrossing
3/26/21 6:00,16.53,10.24,7.78,16.72,11.75,74.7,7.4,Inwood_UTSW
3/26/21 7:00,14.01,6.51,23.85,61.41,11.58,83.5,8.9,Hines_MedicalDistrictDrive
3/26/21 7:00,15.77,4.2,2.52,7.72,11.92,98.2,11.6,Hines_RecordCrossing
3/26/21 7:00,23.9,0.35,10.15,21.39,11.32,76.4,7.3,Inwood_UTSW
3/26/21 8:00,18,6.03,22.86,61.78,13.66,81.1,10.5,Hines_MedicalDistrictDrive
3/26/21 8:00,22.06,2.23,2.19,8.67,13.34,95.8,12.7,Hines_RecordCrossing
3/26/21 8:00,25.43,1.14,8.48,22.55,14.57,69.3,9,Inwood_UTSW
3/26/21 9:00,14.18,12.17,19.35,60.41,17.01,70.3,11.6,Hines_MedicalDistrictDrive
3/26/21 9:00,17.65,9.92,2.6,13.6,16.24,88.5,14.3,Hines_RecordCrossing
3/26/21 9:00,23.48,5.82,7.32,24.2,16.2,59.4,8.3,Inwood_UTSW
3/26/21 10:00,8.2,20.63,15.22,54.21,18.04,61.2,10.5,Hines_MedicalDistrictDrive
3/26/21 10:00,8.89,19.32,2.69,13.34,18.86,75.5,14.4,Hines_RecordCrossing
3/26/21 10:00,14.14,18.45,4.05,15.48,18.92,49.8,8.2,Inwood_UTSW
3/26/21 11:00,6.43,25.93,15.42,58.37,21.51,48.9,10.3,Hines_MedicalDistrictDrive
3/26/21 11:00,12.9,21.57,2.6,18.98,21.4,62.4,13.9,Hines_RecordCrossing
3/26/21 11:00,13.9,22.44,2.66,15.54,21.66,38.9,7,Inwood_UTSW
3/26/21 12:00,3.99,37.52,11.81,51,22.54,42.5,9.2,Hines_MedicalDistrictDrive
3/26/21 12:00,11.63,31.23,1.21,11.13,23.33,53.7,13.4,Hines_RecordCrossing
3/26/21 12:00,10.81,35.24,0.6,9.47,23.4,31.1,5.4,Inwood_UTSW
3/26/21 13:00,8.57,38.23,11.12,49.8,23.17,44.1,10.3,Hines_MedicalDistrictDrive
3/26/21 13:00,10.29,35.19,1.26,11.71,23.94,53,13.8,Hines_RecordCrossing
3/26/21 13:00,11.99,36.57,0.63,9.24,24.65,32.1,6.9,Inwood_UTSW
3/26/21 14:00,7.11,43.06,16.49,51.73,25.4,38.9,10.4,Hines_MedicalDistrictDrive
3/26/21 14:00,7.48,39.24,0.44,5.29,24.59,50.4,13.6,Hines_RecordCrossing
3/26/21 14:00,7.16,44.57,0.17,6.21,24.74,29.4,5.7,Inwood_UTSW
3/26/21 15:00,4.77,50.99,10.13,48.61,26.33,36.1,10.1,Hines_MedicalDistrictDrive
3/26/21 15:00,13.05,42.06,0.16,4.75,26.48,46.2,14,Hines_RecordCrossing
3/26/21 15:00,6.2,48.38,0.05,6.6,27.99,24.9,6.1,Inwood_UTSW
3/26/21 16:00,6.48,55.74,11.29,50.52,27,36.7,11,Hines_MedicalDistrictDrive
3/26/21 16:00,15.8,44.54,0.16,4.27,26.8,45.1,13.9,Hines_RecordCrossing
3/26/21 16:00,7.59,51.06,0.11,6.15,28.1,25.5,6.5,Inwood_UTSW
3/26/21 17:00,10.1,55.35,13.93,52.29,27.18,36.9,11.2,Hines_MedicalDistrictDrive
3/26/21 17:00,18.47,46.78,1.83,8.88,27.32,44.8,14.3,Hines_RecordCrossing
3/26/21 17:00,2.95,55.46,1.2,8.69,30.09,24.3,7.5,Inwood_UTSW
3/26/21 18:00,9.47,55.23,12.54,52.27,26.8,35.6,10.3,Hines_MedicalDistrictDrive
3/26/21 18:00,19.75,47.44,0.68,6.94,28.22,44,14.8,Hines_RecordCrossing
3/26/21 18:00,2.82,54.61,0.62,8.68,29.29,23.5,6.3,Inwood_UTSW
3/26/21 19:00,8.68,54.21,13.29,52.9,27.12,38.3,11.7,Hines_MedicalDistrictDrive
3/26/21 19:00,12.81,47.09,1.06,7.55,25.02,51.8,14.4,Hines_RecordCrossing
3/26/21 19:00,7.74,47.7,1.36,10.36,26.94,27.4,6.6,Inwood_UTSW
3/26/21 20:00,2.71,51.56,15.69,58.3,24.49,43.5,11.3,Hines_MedicalDistrictDrive
3/26/21 20:00,7.32,43,1.67,11.48,23.62,56.7,14.5,Hines_RecordCrossing
3/26/21 20:00,12.13,38.5,2.57,14,23.9,34.9,7.4,Inwood_UTSW
3/26/21 21:00,7.65,43.01,19.39,62.83,23.64,46,11.3,Hines_MedicalDistrictDrive
3/26/21 21:00,9.16,38.74,3.27,16.79,23.2,58.4,14.6,Hines_RecordCrossing
3/26/21 21:00,13.27,34.85,5.14,18.84,23.02,37.8,7.8,Inwood_UTSW
3/26/21 22:00,3.44,43.74,19.87,61.69,23.08,47.3,11.2,Hines_MedicalDistrictDrive
3/26/21 22:00,6.23,36.83,3.58,14.89,22.5,60.7,14.5,Hines_RecordCrossing
3/26/21 22:00,10.83,35.89,4.81,16.24,21.75,40.7,7.8,Inwood_UTSW
3/26/21 23:00,14.6,26.66,28.6,78.44,21.3,52.9,11.3,Hines_MedicalDistrictDrive
3/26/21 23:00,22.11,16.72,6.91,32.51,20.09,69.4,14.3,Hines_RecordCrossing
3/26/21 23:00,31.73,6.94,11.58,32.36,20.03,46.1,8.1,Inwood_UTSW
3/27/21 0:00,17.85,20.51,35.2,76.82,20.37,55.5,11.1,Hines_MedicalDistrictDrive
3/27/21 0:00,12.2,21.64,8.94,30.17,20.3,68.6,14.3,Hines_RecordCrossing
3/27/21 0:00,26.79,10.08,11.32,31.46,19.71,47.1,8.1,Inwood_UTSW
3/27/21 1:00,18.3,18.77,41.83,83.22,19.73,58.1,11.3,Hines_MedicalDistrictDrive
3/27/21 1:00,16.34,18.88,13.01,35.99,19.48,73.1,14.5,Hines_RecordCrossing
3/27/21 1:00,25.99,10.7,14.9,30.72,19.33,49.6,8.5,Inwood_UTSW
3/27/21 2:00,12.27,24.72,54.74,90.27,19.5,59.1,11.3,Hines_MedicalDistrictDrive
3/27/21 2:00,9,23.9,18.96,43.52,19.56,72.6,14.5,Hines_RecordCrossing
3/27/21 2:00,20.86,16.44,21.4,34.74,18.92,50.6,8.4,Inwood_UTSW
3/27/21 3:00,6.86,30.89,47.39,80.51,18.63,60.8,10.9,Hines_MedicalDistrictDrive
3/27/21 3:00,6.69,26.8,17.1,39.73,19.06,73.6,14.2,Hines_RecordCrossing
3/27/21 3:00,17.51,19.92,21.38,34.05,17.69,54.1,8.3,Inwood_UTSW
3/27/21 4:00,1.59,31.33,46.7,76.13,17.11,69.6,11.5,Hines_MedicalDistrictDrive
3/27/21 4:00,3.24,25.67,15.68,34.32,17.58,82.8,14.6,Hines_RecordCrossing
3/27/21 4:00,17.75,16.31,20.61,32.09,16.88,57.8,8.5,Inwood_UTSW
3/27/21 5:00,1.47,27.79,59.53,83.87,16.35,77,12.3,Hines_MedicalDistrictDrive
3/27/21 5:00,0.84,23.52,17.8,36.44,16.86,91,15.4,Hines_RecordCrossing
3/27/21 5:00,11.8,20.51,26.5,36.37,16.48,64.7,9.8,Inwood_UTSW
3/27/21 6:00,0.87,26.07,71.46,90.76,15.94,83.5,13.1,Hines_MedicalDistrictDrive
3/27/21 6:00,0.35,22.3,21.69,43.56,16.58,95.5,15.9,Hines_RecordCrossing
3/27/21 6:00,10.8,20.5,35.1,45.8,16.47,71.2,11.2,Inwood_UTSW
3/27/21 7:00,2.52,17.8,118.61,133.52,16.05,83.5,13.3,Hines_MedicalDistrictDrive
3/27/21 7:00,4.36,13.77,24.62,54.56,16.56,99.9,16.5,Hines_RecordCrossing
3/27/21 7:00,15.73,12.01,50.97,67.37,16.39,79.8,12.9,Inwood_UTSW
3/27/21 8:00,3.65,11.99,153.99,166.79,17.33,83.5,14.5,Hines_MedicalDistrictDrive
3/27/21 8:00,5.9,7.28,32.71,78.8,17.38,99.9,17.4,Hines_RecordCrossing
3/27/21 8:00,16.1,7.96,66.4,89.79,17.67,79.8,14.1,Inwood_UTSW
3/27/21 9:00,4.13,10.06,175.93,184.48,20.12,83.5,17.2,Hines_MedicalDistrictDrive
3/27/21 9:00,6.7,6.05,37.24,87.74,19.3,99.9,19.3,Hines_RecordCrossing
3/27/21 9:00,16.75,6.89,75.54,101.05,20.12,79.7,16.5,Inwood_UTSW
3/27/21 10:00,1.47,11.52,182.06,192.7,21.38,83.5,18.5,Hines_MedicalDistrictDrive
3/27/21 10:00,3.94,7.52,40.53,101.16,21.92,99.9,21.9,Hines_RecordCrossing
3/27/21 10:00,14.78,8.75,81.74,114.02,22.17,73.4,17.2,Inwood_UTSW
3/27/21 11:00,1.68,23.21,110.86,114.68,24.68,76.6,20.3,Hines_MedicalDistrictDrive
3/27/21 11:00,3.18,17.1,30.61,59.98,24.04,88.4,22,Hines_RecordCrossing
3/27/21 11:00,10.38,19.45,55.36,64.44,23.27,61.2,15.4,Inwood_UTSW
3/27/21 12:00,0.39,36.57,84.5,94.14,26.55,63.8,19.1,Hines_MedicalDistrictDrive
3/27/21 12:00,3.34,26.98,30.71,55.31,25.11,80.2,21.5,Hines_RecordCrossing
3/27/21 12:00,6.75,29.83,43.91,48.51,25.2,53.1,15,Inwood_UTSW
3/27/21 13:00,0.49,39.95,95.04,101.18,26.14,65.5,19.2,Hines_MedicalDistrictDrive
3/27/21 13:00,4.85,30.78,37.22,67.32,27.27,71,21.6,Hines_RecordCrossing
3/27/21 13:00,6.25,33.8,46.22,50.28,26.31,50.9,15.3,Inwood_UTSW
3/27/21 14:00,0.23,40.23,104.58,105.57,27.19,61.2,19.1,Hines_MedicalDistrictDrive
3/27/21 14:00,7.86,32.17,39.85,71.56,25.71,77.1,21.4,Hines_RecordCrossing
3/27/21 14:00,6.32,36.07,48.7,52.08,25.79,53.5,15.6,Inwood_UTSW
3/27/21 15:00,0.45,42.41,113.93,110.66,27.99,58.9,19.2,Hines_MedicalDistrictDrive
3/27/21 15:00,5.51,34.2,43.66,76.92,27.22,70.3,21.3,Hines_RecordCrossing
3/27/21 15:00,4.82,38.84,53.67,56.2,27.51,48.2,15.6,Inwood_UTSW
3/27/21 16:00,5.37,39.89,120.13,112.37,28.05,62.9,20.3,Hines_MedicalDistrictDrive
3/27/21 16:00,8.71,34.11,46.16,81.01,27.27,74.7,22.4,Hines_RecordCrossing
3/27/21 16:00,7.15,36.94,56.38,58.1,27.83,50.5,16.6,Inwood_UTSW
3/27/21 17:00,1,40.04,126.31,116.17,28.4,58.6,19.5,Hines_MedicalDistrictDrive
3/27/21 17:00,6.14,31.8,49,85.71,27.62,70.2,21.7,Hines_RecordCrossing
3/27/21 17:00,6.28,35.61,60.36,61.5,28.38,46.5,15.8,Inwood_UTSW
3/27/21 18:00,2.56,40.76,117.61,113.91,28.11,56.8,18.7,Hines_MedicalDistrictDrive
3/27/21 18:00,6.09,34.02,43.84,77.01,29.42,65.8,22.4,Hines_RecordCrossing
3/27/21 18:00,6.72,37.19,53.33,55.74,28.48,44.9,15.4,Inwood_UTSW
3/27/21 19:00,2.16,38.89,113.93,110.7,27.66,60.7,19.4,Hines_MedicalDistrictDrive
3/27/21 19:00,3.73,32.71,45.07,79.85,26.02,75.7,21.4,Hines_RecordCrossing
3/27/21 19:00,8.91,32.65,55.93,59.22,26.72,50.8,15.7,Inwood_UTSW
3/27/21 20:00,6.94,29.19,118.39,116.97,26.03,66.7,19.3,Hines_MedicalDistrictDrive
3/27/21 20:00,5.58,26.66,43.22,78.8,24.72,83.4,21.7,Hines_RecordCrossing
3/27/21 20:00,14.48,24.26,57.77,62.44,24.95,56.2,15.6,Inwood_UTSW
3/27/21 21:00,8.36,31.68,101.82,107.3,24.71,66.6,18.1,Hines_MedicalDistrictDrive
3/27/21 21:00,9.68,29.43,34.95,66.94,24.2,79.4,20.4,Hines_RecordCrossing
3/27/21 21:00,12.17,27.75,46.93,54.96,24.17,54.4,14.4,Inwood_UTSW
3/27/21 22:00,4.02,47.03,51.61,78.91,23.55,55.7,14.2,Hines_MedicalDistrictDrive
3/27/21 22:00,9.27,40.8,15.44,32.64,22.88,69.2,16.9,Hines_RecordCrossing
3/27/21 22:00,8.27,38.51,21.77,30.4,22.98,46.4,10.9,Inwood_UTSW
3/27/21 23:00,0.22,46.93,20.34,60.16,21.15,47.9,9.7,Hines_MedicalDistrictDrive
3/27/21 23:00,3.38,38.99,3.07,11.97,20.61,60.4,12.7,Hines_RecordCrossing
3/27/21 23:00,3.07,39.9,4.1,13.8,20.76,38.4,6.1,Inwood_UTSW
3/28/21 0:00,5.34,46.15,12.61,53.08,18.95,50.2,8.3,Hines_MedicalDistrictDrive
3/28/21 0:00,0.56,41.04,0.22,4.95,18.8,63.3,11.7,Hines_RecordCrossing
3/28/21 0:00,4.15,42.41,0.51,8.46,18.88,40.6,5.2,Inwood_UTSW
3/28/21 1:00,0,44.85,13.64,49.93,17.54,57,8.9,Hines_MedicalDistrictDrive
3/28/21 1:00,0,37.21,0.6,1.28,17.77,70.4,12.3,Hines_RecordCrossing
3/28/21 1:00,1.5,39.01,1.1,6.81,17.69,46.9,6.2,Inwood_UTSW
3/28/21 2:00,0,41.59,16.18,49.52,16.68,59.9,8.9,Hines_MedicalDistrictDrive
3/28/21 2:00,0,33.67,1.74,2.26,17,72.5,12,Hines_RecordCrossing
3/28/21 2:00,0.73,35.95,2.42,7,16.88,49,6.1,Inwood_UTSW
3/28/21 3:00,0,39.51,20.86,51.77,15.81,61.7,8.5,Hines_MedicalDistrictDrive
3/28/21 3:00,0,32.05,3.92,5.17,16.23,74.4,11.7,Hines_RecordCrossing
3/28/21 3:00,1.14,35.05,5.02,9.18,16.17,50.7,5.9,Inwood_UTSW
3/28/21 4:00,0,38.12,19.7,50.98,14.89,64.3,8.2,Hines_MedicalDistrictDrive
3/28/21 4:00,0,31.76,2.99,3.45,15.32,78.4,11.6,Hines_RecordCrossing
3/28/21 4:00,2.13,32.74,4.16,8.23,15.15,53.7,5.8,Inwood_UTSW
3/28/21 5:00,0,35.33,18.54,51,14.08,63.3,7.2,Hines_MedicalDistrictDrive
3/28/21 5:00,0,30.98,2.34,2.39,14.6,77.1,10.6,Hines_RecordCrossing
3/28/21 5:00,3.19,31.12,3.52,8.01,14.26,53.2,4.8,Inwood_UTSW
3/28/21 6:00,0,34.73,17.21,50.13,13.32,63.5,6.5,Hines_MedicalDistrictDrive
3/28/21 6:00,0,30.59,2.18,1.59,14.03,76.7,10,Hines_RecordCrossing
3/28/21 6:00,6.16,30.99,3.13,7.52,13.67,53.1,4.3,Inwood_UTSW
3/28/21 7:00,0.2,30.84,17.14,49.79,12.72,63.3,5.9,Hines_MedicalDistrictDrive
3/28/21 7:00,0,28.62,1.97,1.64,13.36,76.8,9.4,Hines_RecordCrossing
3/28/21 7:00,8.14,29.82,2.88,7.16,13,53.1,3.7,Inwood_UTSW
3/28/21 8:00,0.06,30.28,17.36,50.86,15.2,58.4,7.1,Hines_MedicalDistrictDrive
3/28/21 8:00,0,27.02,1.94,1.09,13.22,78.7,9.6,Hines_RecordCrossing
3/28/21 8:00,10.41,27.01,2.97,7.55,14.42,51.4,4.5,Inwood_UTSW
3/28/21 9:00,0.07,32.92,16.19,49.15,16.12,51.6,6.1,Hines_MedicalDistrictDrive
3/28/21 9:00,0.03,26.76,2.09,1.6,15.29,68.7,9.6,Hines_RecordCrossing
3/28/21 9:00,10.64,27.71,2.84,6.91,15.34,43.6,3,Inwood_UTSW
3/28/21 10:00,0.03,38.41,15.55,48.82,17.03,43.6,4.5,Hines_MedicalDistrictDrive
3/28/21 10:00,0,31.57,1.79,1.71,18.01,54.4,8.7,Hines_RecordCrossing
3/28/21 10:00,10.28,33.3,1.88,5.78,17.88,32.8,1.3,Inwood_UTSW
3/28/21 11:00,4.33,42.52,13.2,47.62,19.06,33.9,2.8,Hines_MedicalDistrictDrive
3/28/21 11:00,0,35.58,0.98,1.34,19.62,45,7.3,Hines_RecordCrossing
3/28/21 11:00,10.12,38.2,0.77,5.45,19.88,24.9,-0.8,Inwood_UTSW
3/28/21 12:00,2.25,47,13.28,48.26,20.84,33.5,4.2,Hines_MedicalDistrictDrive
3/28/21 12:00,0.46,37.73,0.87,1.56,21.52,44,8.8,Hines_RecordCrossing
3/28/21 12:00,10.04,40.7,0.76,5.77,20.57,24.4,-0.5,Inwood_UTSW
3/28/21 13:00,2.91,50.18,12.78,47.59,23.33,27.6,3.6,Hines_MedicalDistrictDrive
3/28/21 13:00,1.03,39.82,0.72,1.36,22.83,37.8,7.7,Hines_RecordCrossing
3/28/21 13:00,8.62,44.07,0.67,5.06,22.93,18.5,-2.3,Inwood_UTSW
3/28/21 14:00,4.08,53.8,11.49,47.56,22.26,27,2.3,Hines_MedicalDistrictDrive
3/28/21 14:00,5.4,42.94,0.09,0.53,22.96,37.2,7.6,Hines_RecordCrossing
3/28/21 14:00,9.25,46.05,0.13,4.34,24,19.1,-1,Inwood_UTSW
3/28/21 15:00,3.13,56.44,10.61,47.16,24.04,22.2,1.1,Hines_MedicalDistrictDrive
3/28/21 15:00,5.46,43.9,0.01,0.7,23.85,34,7,Hines_RecordCrossing
3/28/21 15:00,6.87,49.35,0.02,4.27,23.82,16.6,-3.1,Inwood_UTSW
3/28/21 16:00,2.44,57.51,10.66,47.48,23.06,24.3,1.5,Hines_MedicalDistrictDrive
3/28/21 16:00,2.5,43.35,0.13,0.97,23.94,33.8,7,Hines_RecordCrossing
3/28/21 16:00,6.3,49.8,0.04,4.97,24.86,16.5,-2.3,Inwood_UTSW
3/28/21 17:00,1.93,57.56,11.1,47.97,23.57,22.6,1,Hines_MedicalDistrictDrive
3/28/21 17:00,1.79,43.71,0.19,1.84,24.5,33.1,7.2,Hines_RecordCrossing
3/28/21 17:00,6.75,49.39,0.2,5.84,26.84,15.1,-1.9,Inwood_UTSW
3/28/21 18:00,0.9,58.8,11.75,48.89,23.88,23.3,1.6,Hines_MedicalDistrictDrive
3/28/21 18:00,1.66,44.4,0.18,1.91,25.41,32.3,7.7,Hines_RecordCrossing
3/28/21 18:00,5.81,50.58,0.12,5.74,25.52,15.3,-2.8,Inwood_UTSW
3/28/21 19:00,0.58,56.49,13.46,50.38,22.62,26.5,2.4,Hines_MedicalDistrictDrive
3/28/21 19:00,0.3,44.09,1.01,3.51,21.24,37.9,6.3,Hines_RecordCrossing
3/28/21 19:00,6.11,49.26,0.7,6.89,23.13,18,-2.5,Inwood_UTSW
3/28/21 20:00,0.22,54.35,15.57,52.25,19.8,28.9,1.2,Hines_MedicalDistrictDrive
